Lexical Feature,Spearman Correlation,p-value
divergence,0.08738701647626315,0.5727178471144232
tentative,-0.09397960288473638,0.5439908277007979
certitude,0.033833145785235164,0.8274094453240326
inhibition,0.19300283383126543,0.2093983809607283
inclusion,0.15319597364236578,0.32080302799432875
exclusion,-0.03433749081557407,0.8248765909349188
perception,-0.0936466617439706,0.5454248807641839
remplisseur,,
Unnamed: 5,,
Unnamed: 6,,
Unnamed: 7,,
Unnamed: 8,,
Unnamed: 9,,
Unnamed: 10,,
Unnamed: 11,,
Unnamed: 12,,
Unnamed: 13,,
Unnamed: 14,,
Unnamed: 15,,
Unnamed: 16,,
Unnamed: 17,,
Unnamed: 18,,
Unnamed: 19,,
Unnamed: 20,,
Unnamed: 21,,
Unnamed: 38,,
Unnamed: 39,,
Unnamed: 40,,
Unnamed: 41,,
Unnamed: 42,,
Segment,,
WC,0.04000930000985683,0.7965190615701633
WPS,0.10289860907388829,0.506261346087929
BigWords,0.29279482857027916,0.053758949675828
emopos,-0.11838752280200317,0.444042791307816
emoneg,-0.12743407984224028,0.4097487598158288
anxiete,0.05870628665524682,0.7050371766064597
colère,-0.05389666788165757,0.7282377649792673
tristesse,-0.06332149538030914,0.683019946541838
cognition,0.14385824957902826,0.35152529038547076
perspicacite,0.14675110468601668,0.3418212484798928
cause,0.16625870818256,0.280759174188186
divergence,0.11869982852700296,0.44283321109964924
tentative,-0.06507006429056568,0.6747445011170875
certitude,0.13700450044812554,0.37517872088298576
inhibition,-0.035220265124644,0.8204474810237861
inclusion,0.11976180034744839,0.43873373937019355
exclusion,-0.07114575851286739,0.6462888310960688
perception,-0.13564026996057602,0.37999744147476855
remplisseur,,
Unnamed: 5,,
Unnamed: 6,,
Unnamed: 7,,
Unnamed: 8,,
Unnamed: 9,,
Unnamed: 10,,
Unnamed: 11,,
Unnamed: 12,,
Unnamed: 13,,
Unnamed: 14,,
Unnamed: 15,,
Unnamed: 16,,
Unnamed: 17,,
Unnamed: 18,,
Unnamed: 19,,
Unnamed: 20,,
Unnamed: 21,,
Unnamed: 38,,
Unnamed: 39,,
Unnamed: 40,,
Unnamed: 41,,
Unnamed: 42,,
Segment,,
WC,0.016262689679101695,0.9165537191924346
WPS,0.08129912129674595,0.599845815319646
BigWords,0.012646529979493816,0.9350635774082688
emopos,0.02168052962950616,0.8889060663451798
emoneg,-0.2565800599224763,0.09271647255831654
anxiete,0.20900699353851007,0.17333168187921275
colère,-0.01311021511637573,0.9326880382747272
tristesse,-0.040308337318108,0.7950307773750797
cognition,-0.012646529979493816,0.9350635774082688
perspicacite,0.02168282196527969,0.8888943935747953
cause,-0.08491540771556579,0.5836636854139441
divergence,-0.030719496673625755,0.8430837920809945
tentative,-0.056013956743639196,0.7179933946619619
certitude,0.16080859514652854,0.29704968834033696
inhibition,-0.04336564393055938,0.7798569196631688
inclusion,0.1373584326588581,0.37393453664735443
exclusion,-0.19333168180537702,0.20860829944948808
perception,-0.014455724159201508,0.9257981057798066
remplisseur,,
Unnamed: 5,,
Unnamed: 6,,
Unnamed: 7,,
Unnamed: 8,,
Unnamed: 9,,
Unnamed: 10,,
Unnamed: 11,,
Unnamed: 12,,
Unnamed: 13,,
Unnamed: 14,,
Unnamed: 15,,
Unnamed: 16,,
Unnamed: 17,,
Unnamed: 18,,
Unnamed: 19,,
Unnamed: 20,,
Unnamed: 21,,
Unnamed: 38,,
Unnamed: 39,,
Unnamed: 40,,
Unnamed: 41,,
Unnamed: 42,,
Segment,,
WC,-0.09886412822695789,0.5231622778435197
WPS,0.0071888515468958945,0.9630606056595906
BigWords,0.11861605052378223,0.44315751037987317
emopos,-0.12940388761042396,0.4024882753852551
emoneg,0.11324037357678801,0.46423789741167587
anxiete,-0.022681698081465536,0.8838102732827766
colère,0.016767969422261456,0.9139706138563168
tristesse,0.11118039805338538,0.4724561682142525
cognition,-0.03594425773447947,0.8168191284066614
perspicacite,0.14020236728554708,0.36402677076134193
cause,0.03594552433622888,0.8168127840116226
divergence,0.09167724135282594,0.5539444034581376
tentative,-0.26782247084033994,0.07880583788335502
certitude,0.0593142956034281,0.7021224979026108
inhibition,0.21210101717557123,0.166910116405745
inclusion,-0.18518471827082472,0.22879989003820325
exclusion,-0.06111169850050168,0.6935308900146633
perception,0.12223201308060246,0.4292798912503967
remplisseur,,
Unnamed: 5,,
Unnamed: 6,,
Unnamed: 7,,
Unnamed: 8,,
Unnamed: 9,,
Unnamed: 10,,
Unnamed: 11,,
Unnamed: 12,,
Unnamed: 13,,
Unnamed: 14,,
Unnamed: 15,,
Unnamed: 16,,
Unnamed: 17,,
Unnamed: 18,,
Unnamed: 19,,
Unnamed: 20,,
Unnamed: 21,,
Unnamed: 38,,
Unnamed: 39,,
Unnamed: 40,,
Unnamed: 41,,
Unnamed: 42,,
Segment,,
WC,0.06617482909352182,0.6695353843877458
WPS,0.009189329077484019,0.952791605819427
BigWords,0.07902823006636256,0.6101064884206838
emopos,-0.20033443301398024,0.19227566605876456
emoneg,0.21873686393713865,0.15372205428814517
anxiete,-0.007731585918262506,0.9602739484256373
colère,0.1047888150298636,0.4984394084380459
tristesse,0.2795785991903637,0.06606700011284496
cognition,-0.0018378658154968037,0.9905532181838286
perspicacite,0.12499249367836494,0.41885149477851924
cause,0.07535515370250634,0.6268594678726025
divergence,0.06801541627435109,0.6608907986121235
tentative,-0.07903937100249549,0.6100559669064967
certitude,-0.0459515030969423,0.7670854781669694
inhibition,0.055143747211043356,0.7221980548295386
inclusion,-0.16731065087222102,0.27768356385092796
exclusion,-0.0055141803716330755,0.971661764574179
perception,0.10293862303436728,0.5060951205931947
remplisseur,,
Unnamed: 5,,
Unnamed: 6,,
Unnamed: 7,,
Unnamed: 8,,
Unnamed: 9,,
Unnamed: 10,,
Unnamed: 11,,
Unnamed: 12,,
Unnamed: 13,,
Unnamed: 14,,
Unnamed: 15,,
Unnamed: 16,,
Unnamed: 17,,
Unnamed: 18,,
Unnamed: 19,,
Unnamed: 20,,
Unnamed: 21,,
Unnamed: 38,,
Unnamed: 39,,
Unnamed: 40,,
Unnamed: 41,,
Unnamed: 42,,
Segment,,
WC,0.19028926070997843,0.2159977245180347
WPS,-0.02320191859957102,0.8811642459150035
BigWords,-0.013921151159742613,0.9285348734500309
emopos,-0.10905286008117782,0.481024364468952
emoneg,-0.07889764419767735,0.6106987979317005
anxiete,0.37578497765877766,0.0119436547731705
colère,0.06253680460649923,0.6867456899686435
tristesse,-0.07764914968754433,0.6163740595833493
cognition,-0.16705381391691135,0.278432440653745
perspicacite,-0.023205189469905105,0.8811476131133975
cause,0.0324838306624785,0.8341942402603039
divergence,-0.0023206825423904105,0.9880716600652233
tentative,-0.18796203470623135,0.22177131927313518
certitude,0.04176786892074562,0.7877772131852021
inhibition,-0.16707736418331678,0.2783637184529971
inclusion,0.027853100187767637,0.8575667542288021
exclusion,-0.09513792365280944,0.5390158045392522
perception,0.08818282813389244,0.5692135940879226
remplisseur,,
Unnamed: 5,,
Unnamed: 6,,
Unnamed: 7,,
Unnamed: 8,,
Unnamed: 9,,
Unnamed: 10,,
Unnamed: 11,,
Unnamed: 12,,
Unnamed: 13,,
Unnamed: 14,,
Unnamed: 15,,
Unnamed: 16,,
Unnamed: 17,,
Unnamed: 18,,
Unnamed: 19,,
Unnamed: 20,,
Unnamed: 21,,
Unnamed: 38,,
Unnamed: 39,,
Unnamed: 40,,
Unnamed: 41,,
Unnamed: 42,,
Segment,,
WC,,
WPS,,
BigWords,,
emopos,,
emoneg,,
anxiete,,
colère,,
tristesse,,
cognition,,
perspicacite,,
cause,,
divergence,,
tentative,,
certitude,,
inhibition,,
inclusion,,
exclusion,,
perception,,
remplisseur,,
Unnamed: 5,,
Unnamed: 6,,
Unnamed: 7,,
Unnamed: 8,,
Unnamed: 9,,
Unnamed: 10,,
Unnamed: 11,,
Unnamed: 12,,
Unnamed: 13,,
Unnamed: 14,,
Unnamed: 15,,
Unnamed: 16,,
Unnamed: 17,,
Unnamed: 18,,
Unnamed: 19,,
Unnamed: 20,,
Unnamed: 21,,
Unnamed: 38,,
Unnamed: 39,,
Unnamed: 40,,
Unnamed: 41,,
Unnamed: 42,,
