Feature Pair,F-Statistic,P-Value,,,
structure,vs,conjunctToWords,3.163181749038163,0.044691848703697766,
structure,vs,conjunctNum,2.579332820465133,0.07867261038854578,
structure,vs,conjunctTypesToTotal,0.6589346851000304,0.5186667432390822,
structure,vs,conjunctNeighborSent,0.4479893772103311,0.6396338843261097,
structure,vs,Segment,,,
structure,vs,WC,,,
structure,vs,WPS,,,
structure,vs,BigWords,,,
structure,vs,emopos,,,
structure,vs,emoneg,,,
structure,vs,anxiete,,,
structure,vs,colère,,,
structure,vs,tristesse,,,
structure,vs,cognition,,,
structure,vs,perspicacite,,,
structure,vs,cause,,,
structure,vs,divergence,,,
structure,vs,tentative,,,
structure,vs,certitude,,,
structure,vs,inhibition,,,
structure,vs,inclusion,,,
structure,vs,exclusion,,,
structure,vs,perception,,,
structure,vs,remplisseur,,,
structure,vs,Unnamed: 5,,,
structure,vs,Unnamed: 6,,,
structure,vs,Unnamed: 7,,,
structure,vs,Unnamed: 8,,,
structure,vs,Unnamed: 9,,,
structure,vs,Unnamed: 10,,,
structure,vs,Unnamed: 11,,,
structure,vs,Unnamed: 12,,,
structure,vs,Unnamed: 13,,,
structure,vs,Unnamed: 14,,,
structure,vs,Unnamed: 15,,,
structure,vs,Unnamed: 16,,,
structure,vs,Unnamed: 17,,,
structure,vs,Unnamed: 18,,,
structure,vs,Unnamed: 19,,,
structure,vs,Unnamed: 20,,,
structure,vs,Unnamed: 21,,,
structure,vs,Unnamed: 38,,,
structure,vs,Unnamed: 39,,,
structure,vs,Unnamed: 40,,,
structure,vs,Unnamed: 41,,,
structure,vs,Unnamed: 42,,,
structure,vs,DISC,RefExprPronounsPerNoun,2.467100144197853,0.08774339635875263
structure,vs,DISC,RefExprPronounsPerSen,5.9973406264141325,0.0030188813187300733
structure,vs,DISC,RefExprPronounsPerWord,4.002713488964612,0.019943833174921974
structure,vs,DISC,RefExprPerPronounsPerSen,5.9973406264141325,0.0030188813187300733
structure,vs,DISC,RefExprPerProPerWord,4.002713488964612,0.019943833174921974
structure,vs,DISC,RefExprPossProPerSen,,
structure,vs,DISC,RefExprPossProPerWord,,
structure,vs,DISC,RefExprDefArtPerSen,,
structure,vs,DISC,RefExprDefArtPerWord,,
structure,vs,DISC,RefExprProperNounsPerNoun,4.8801949534086555,0.008648320088339755
languageLVL,vs,POS,numNouns,1.8306303258949868,0.1777690756875501
languageLVL,vs,POS,numProperNouns,15.682119644588832,0.00010822472993935939
languageLVL,vs,POS,numPronouns,2.0196426488538797,0.1570252085533806
languageLVL,vs,POS,numConjunct,0.14646294040141652,0.7023952763418204
languageLVL,vs,POS,numAdjectives,1.8297290331675091,0.17787532070563342
languageLVL,vs,POS,numVerbs,1.2706565735235436,0.26116078924045755
languageLVL,vs,POS,numAdverbs,15.08147629517941,0.0001449900060892197
languageLVL,vs,POS,numModals,,
languageLVL,vs,POS,numPrepositions,0.009342309607567439,0.9231086214858606
languageLVL,vs,POS,numInterjections,2.685080583366553,0.10305846116016047
languageLVL,vs,POS,numPerPronouns,2.0196426488538797,0.1570252085533806
languageLVL,vs,POS,numWhPronouns,,
languageLVL,vs,POS,numLexicals,25.333445461494883,1.1738376025793685e-06
languageLVL,vs,POS,numFunctionWords,0.9278017973653782,0.3367415066675903
languageLVL,vs,POS,numDeterminers,20.25774711408494,1.2196401155742735e-05
languageLVL,vs,POS,numVerbsVB,0.6942136792444976,0.4058514363860556
languageLVL,vs,POS,numVerbsVBG,,
languageLVL,vs,POS,numVerbsVBN,13.020824343512869,0.0004001351507245003
languageLVL,vs,POS,numVerbsVBP,,
languageLVL,vs,POS,numVerbsVBZ,,
languageLVL,vs,POS,advVar,11.671891535066356,0.0007861635613077695
languageLVL,vs,POS,adjVar,0.698473913183257,0.4044173987225984
languageLVL,vs,POS,modVar,9.89951166546949,0.001938236356778352
languageLVL,vs,POS,nounVar,8.947722116713598,0.003172156963757926
languageLVL,vs,POS,verbVar1,6.130410211912247,0.014222228952660055
languageLVL,vs,POS,verbVar2,0.0852178643473045,0.770686980451773
languageLVL,vs,POS,squaredVerbVar1,1.201883777783768,0.2744265023681821
languageLVL,vs,POS,correctedVV1,0.920723441135294,0.338586649198099
languageLVL,vs,localNounOverlapCount,,,
languageLVL,vs,localArgumentOverlapCount,0.025023393519352004,0.8744881000482395,
languageLVL,vs,localStemOverlapCount,1.065796845439642,0.30329741294076434,
languageLVL,vs,localContentWordOverlap,0.2154437232527145,0.6431008881098211,
languageLVL,vs,globalNounOverlapCount,,,
languageLVL,vs,globalArgumentOverlapCount,0.18944417640679254,0.6639069163933786,
languageLVL,vs,globalStemOverlapCount,0.36283632249841447,0.5477017879035779,
languageLVL,vs,globalContentWordOverlap,0.17001317968548654,0.6805962543373181,
languageLVL,vs,TTR,0.2775012301331171,0.5989995485092787,
languageLVL,vs,CorrectedTTR,0.9341645116226139,0.3350944578644307,
languageLVL,vs,RootTTR,0.9341645116225349,0.33509445786445136,
languageLVL,vs,BilogTTR,1.109036922880055,0.29371885078038573,
languageLVL,vs,MTLD,15.813333246406847,0.00010154651327715811,
languageLVL,vs,conjunctToSent,0.37372848332567477,0.541758848457997,
languageLVL,vs,conjunctTypesToSent,12.528928133516105,0.0005113325428450167,
languageLVL,vs,conjunctToWords,0.785302085420436,0.3767201160396999,
languageLVL,vs,conjunctNum,0.13629207579323532,0.7124341565351101,
languageLVL,vs,conjunctTypesToTotal,9.695801758298044,0.0021526666148614223,
languageLVL,vs,conjunctNeighborSent,0.014451020493521493,0.9044504761913359,
languageLVL,vs,Segment,,,
languageLVL,vs,WC,,,
languageLVL,vs,WPS,,,
languageLVL,vs,BigWords,,,
languageLVL,vs,emopos,,,
languageLVL,vs,emoneg,,,
languageLVL,vs,anxiete,,,
languageLVL,vs,colère,,,
languageLVL,vs,tristesse,,,
languageLVL,vs,cognition,,,
languageLVL,vs,perspicacite,,,
languageLVL,vs,cause,,,
languageLVL,vs,divergence,,,
languageLVL,vs,tentative,,,
languageLVL,vs,certitude,,,
languageLVL,vs,inhibition,,,
languageLVL,vs,inclusion,,,
languageLVL,vs,exclusion,,,
languageLVL,vs,perception,,,
languageLVL,vs,remplisseur,,,
languageLVL,vs,Unnamed: 5,,,
languageLVL,vs,Unnamed: 6,,,
languageLVL,vs,Unnamed: 7,,,
languageLVL,vs,Unnamed: 8,,,
languageLVL,vs,Unnamed: 9,,,
languageLVL,vs,Unnamed: 10,,,
languageLVL,vs,Unnamed: 11,,,
languageLVL,vs,Unnamed: 12,,,
languageLVL,vs,Unnamed: 13,,,
languageLVL,vs,Unnamed: 14,,,
languageLVL,vs,Unnamed: 15,,,
languageLVL,vs,Unnamed: 16,,,
languageLVL,vs,Unnamed: 17,,,
languageLVL,vs,Unnamed: 18,,,
languageLVL,vs,Unnamed: 19,,,
languageLVL,vs,Unnamed: 20,,,
languageLVL,vs,Unnamed: 21,,,
languageLVL,vs,Unnamed: 38,,,
languageLVL,vs,Unnamed: 39,,,
languageLVL,vs,Unnamed: 40,,,
languageLVL,vs,Unnamed: 41,,,
languageLVL,vs,Unnamed: 42,,,
languageLVL,vs,DISC,RefExprPronounsPerNoun,0.1951208014633752,0.6592245172861773
languageLVL,vs,DISC,RefExprPronounsPerSen,6.51195994001298,0.011555759430543553
languageLVL,vs,DISC,RefExprPronounsPerWord,3.6415526683072335,0.05796378279036925
languageLVL,vs,DISC,RefExprPerPronounsPerSen,6.51195994001298,0.011555759430543553
languageLVL,vs,DISC,RefExprPerProPerWord,3.6415526683072335,0.05796378279036925
languageLVL,vs,DISC,RefExprPossProPerSen,,
languageLVL,vs,DISC,RefExprPossProPerWord,,
languageLVL,vs,DISC,RefExprDefArtPerSen,,
languageLVL,vs,DISC,RefExprDefArtPerWord,,
languageLVL,vs,DISC,RefExprProperNounsPerNoun,22.37137548703369,4.5577066232492526e-06
passiveV,vs,POS,numNouns,0.29672826830668464,0.5866226135310176
passiveV,vs,POS,numProperNouns,0.010011751946988025,0.9204102947666806
passiveV,vs,POS,numPronouns,5.346450393206503,0.02190909834838927
passiveV,vs,POS,numConjunct,0.5817835339081358,0.4466237043870702
passiveV,vs,POS,numAdjectives,0.5092084229031234,0.47641629748188874
passiveV,vs,POS,numVerbs,3.8962797763722494,0.04994045240772108
passiveV,vs,POS,numAdverbs,0.7323761500007775,0.3932645840255419
passiveV,vs,POS,numModals,,
passiveV,vs,POS,numPrepositions,1.3941702164786614,0.23927745665396524
passiveV,vs,POS,numInterjections,10.207084630861742,0.0016550811900276532
passiveV,vs,POS,numPerPronouns,5.346450393206503,0.02190909834838927
passiveV,vs,POS,numWhPronouns,,
passiveV,vs,POS,numLexicals,8.08667084667995,0.004981179735875794
passiveV,vs,POS,numFunctionWords,5.095659247937542,0.025200943001393247
passiveV,vs,POS,numDeterminers,0.4546709686216461,0.500999856626031
passiveV,vs,POS,numVerbsVB,2.4760874824147545,0.11736521829249316
passiveV,vs,POS,numVerbsVBG,,
passiveV,vs,POS,numVerbsVBN,0.40352816600924657,0.5260885220240605
passiveV,vs,POS,numVerbsVBP,,
passiveV,vs,POS,numVerbsVBZ,,
passiveV,vs,POS,advVar,0.2759321735334632,0.6000336011168748
passiveV,vs,POS,adjVar,0.09304148349324691,0.7607019429627593
passiveV,vs,POS,modVar,0.3506717702806775,0.5544845502500182
passiveV,vs,POS,nounVar,2.230303641164973,0.13709770514828912
passiveV,vs,POS,verbVar1,7.088332333459598,0.008469532397225164
passiveV,vs,POS,verbVar2,1.2006633722748818,0.2746694685453994
passiveV,vs,POS,squaredVerbVar1,0.4120997616112268,0.5217315238311971
passiveV,vs,POS,correctedVV1,0.39657474979434815,0.529671018227406
passiveV,vs,localNounOverlapCount,,,
passiveV,vs,localArgumentOverlapCount,0.8978904811543705,0.34463261749734064,
passiveV,vs,localStemOverlapCount,0.19242259884040358,0.6614398661850355,
passiveV,vs,localContentWordOverlap,5.67086262078816,0.018304336397077296,
passiveV,vs,globalNounOverlapCount,,,
passiveV,vs,globalArgumentOverlapCount,0.019608661848282898,0.8887938756883027,
