Feature Pair,F-Statistic,P-Value
structure_vs_anxiete,,
structure_vs_colère,,
structure_vs_tristesse,,
structure_vs_cognition,,
structure_vs_perspicacite,,
structure_vs_cause,,
structure_vs_divergence,,
structure_vs_tentative,,
structure_vs_certitude,,
structure_vs_inhibition,,
structure_vs_inclusion,,
structure_vs_exclusion,,
structure_vs_perception,,
structure_vs_remplisseur,,
structure_vs_Unnamed: 5,,
structure_vs_Unnamed: 6,,
structure_vs_Unnamed: 7,,
structure_vs_Unnamed: 8,,
structure_vs_Unnamed: 9,,
structure_vs_Unnamed: 10,,
structure_vs_Unnamed: 11,,
structure_vs_Unnamed: 12,,
structure_vs_Unnamed: 13,,
structure_vs_Unnamed: 14,,
structure_vs_Unnamed: 15,,
structure_vs_Unnamed: 16,,
structure_vs_Unnamed: 17,,
structure_vs_Unnamed: 18,,
structure_vs_Unnamed: 19,,
structure_vs_Unnamed: 20,,
structure_vs_Unnamed: 21,,
structure_vs_Unnamed: 38,,
structure_vs_Unnamed: 39,,
structure_vs_Unnamed: 40,,
structure_vs_Unnamed: 41,,
structure_vs_Unnamed: 42,,
structure_vs_DISC_RefExprPronounsPerNoun,2.467100144197853,0.08774339635875263
structure_vs_DISC_RefExprPronounsPerSen,5.9973406264141325,0.0030188813187300733
structure_vs_DISC_RefExprPronounsPerWord,4.002713488964612,0.019943833174921974
structure_vs_DISC_RefExprPerPronounsPerSen,5.9973406264141325,0.0030188813187300733
structure_vs_DISC_RefExprPerProPerWord,4.002713488964612,0.019943833174921974
structure_vs_DISC_RefExprPossProPerSen,,
structure_vs_DISC_RefExprPossProPerWord,,
structure_vs_DISC_RefExprDefArtPerSen,,
structure_vs_DISC_RefExprDefArtPerWord,,
structure_vs_DISC_RefExprProperNounsPerNoun,4.8801949534086555,0.008648320088339755
languageLVL_vs_POS_numNouns,1.8306303258949868,0.1777690756875501
languageLVL_vs_POS_numProperNouns,15.682119644588832,0.00010822472993935939
languageLVL_vs_POS_numPronouns,2.0196426488538797,0.1570252085533806
languageLVL_vs_POS_numConjunct,0.14646294040141652,0.7023952763418204
languageLVL_vs_POS_numAdjectives,1.8297290331675091,0.17787532070563342
languageLVL_vs_POS_numVerbs,1.2706565735235436,0.26116078924045755
languageLVL_vs_POS_numAdverbs,15.08147629517941,0.0001449900060892197
languageLVL_vs_POS_numModals,,
languageLVL_vs_POS_numPrepositions,0.009342309607567439,0.9231086214858606
languageLVL_vs_POS_numInterjections,2.685080583366553,0.10305846116016047
languageLVL_vs_POS_numPerPronouns,2.0196426488538797,0.1570252085533806
languageLVL_vs_POS_numWhPronouns,,
languageLVL_vs_POS_numLexicals,25.333445461494883,1.1738376025793685e-06
languageLVL_vs_POS_numFunctionWords,0.9278017973653782,0.3367415066675903
languageLVL_vs_POS_numDeterminers,20.25774711408494,1.2196401155742735e-05
languageLVL_vs_POS_numVerbsVB,0.6942136792444976,0.4058514363860556
languageLVL_vs_POS_numVerbsVBG,,
languageLVL_vs_POS_numVerbsVBN,13.020824343512869,0.0004001351507245003
languageLVL_vs_POS_numVerbsVBP,,
languageLVL_vs_POS_numVerbsVBZ,,
languageLVL_vs_POS_advVar,11.671891535066356,0.0007861635613077695
languageLVL_vs_POS_adjVar,0.698473913183257,0.4044173987225984
languageLVL_vs_POS_modVar,9.89951166546949,0.001938236356778352
languageLVL_vs_POS_nounVar,8.947722116713598,0.003172156963757926
languageLVL_vs_POS_verbVar1,6.130410211912247,0.014222228952660055
languageLVL_vs_POS_verbVar2,0.0852178643473045,0.770686980451773
languageLVL_vs_POS_squaredVerbVar1,1.201883777783768,0.2744265023681821
languageLVL_vs_POS_correctedVV1,0.920723441135294,0.338586649198099
languageLVL_vs_localNounOverlapCount,,
languageLVL_vs_localArgumentOverlapCount,0.025023393519352004,0.8744881000482395
languageLVL_vs_localStemOverlapCount,1.065796845439642,0.30329741294076434
languageLVL_vs_localContentWordOverlap,0.2154437232527145,0.6431008881098211
languageLVL_vs_globalNounOverlapCount,,
languageLVL_vs_globalArgumentOverlapCount,0.18944417640679254,0.6639069163933786
languageLVL_vs_globalStemOverlapCount,0.36283632249841447,0.5477017879035779
languageLVL_vs_globalContentWordOverlap,0.17001317968548654,0.6805962543373181
languageLVL_vs_TTR,0.2775012301331171,0.5989995485092787
languageLVL_vs_CorrectedTTR,0.9341645116226139,0.3350944578644307
languageLVL_vs_RootTTR,0.9341645116225349,0.33509445786445136
languageLVL_vs_BilogTTR,1.109036922880055,0.29371885078038573
languageLVL_vs_MTLD,15.813333246406847,0.00010154651327715811
languageLVL_vs_conjunctToSent,0.37372848332567477,0.541758848457997
languageLVL_vs_conjunctTypesToSent,12.528928133516105,0.0005113325428450167
languageLVL_vs_conjunctToWords,0.785302085420436,0.3767201160396999
languageLVL_vs_conjunctNum,0.13629207579323532,0.7124341565351101
languageLVL_vs_conjunctTypesToTotal,9.695801758298044,0.0021526666148614223
languageLVL_vs_conjunctNeighborSent,0.014451020493521493,0.9044504761913359
languageLVL_vs_Segment,,
languageLVL_vs_WC,,
languageLVL_vs_WPS,,
languageLVL_vs_BigWords,,
languageLVL_vs_emopos,,
languageLVL_vs_emoneg,,
languageLVL_vs_anxiete,,
languageLVL_vs_colère,,
languageLVL_vs_tristesse,,
languageLVL_vs_cognition,,
languageLVL_vs_perspicacite,,
languageLVL_vs_cause,,
languageLVL_vs_divergence,,
languageLVL_vs_tentative,,
languageLVL_vs_certitude,,
languageLVL_vs_inhibition,,
languageLVL_vs_inclusion,,
languageLVL_vs_exclusion,,
languageLVL_vs_perception,,
languageLVL_vs_remplisseur,,
languageLVL_vs_Unnamed: 5,,
languageLVL_vs_Unnamed: 6,,
languageLVL_vs_Unnamed: 7,,
languageLVL_vs_Unnamed: 8,,
languageLVL_vs_Unnamed: 9,,
languageLVL_vs_Unnamed: 10,,
languageLVL_vs_Unnamed: 11,,
languageLVL_vs_Unnamed: 12,,
languageLVL_vs_Unnamed: 13,,
languageLVL_vs_Unnamed: 14,,
languageLVL_vs_Unnamed: 15,,
languageLVL_vs_Unnamed: 16,,
languageLVL_vs_Unnamed: 17,,
languageLVL_vs_Unnamed: 18,,
languageLVL_vs_Unnamed: 19,,
languageLVL_vs_Unnamed: 20,,
languageLVL_vs_Unnamed: 21,,
languageLVL_vs_Unnamed: 38,,
languageLVL_vs_Unnamed: 39,,
languageLVL_vs_Unnamed: 40,,
languageLVL_vs_Unnamed: 41,,
languageLVL_vs_Unnamed: 42,,
languageLVL_vs_DISC_RefExprPronounsPerNoun,0.1951208014633752,0.6592245172861773
languageLVL_vs_DISC_RefExprPronounsPerSen,6.51195994001298,0.011555759430543553
languageLVL_vs_DISC_RefExprPronounsPerWord,3.6415526683072335,0.05796378279036925
languageLVL_vs_DISC_RefExprPerPronounsPerSen,6.51195994001298,0.011555759430543553
languageLVL_vs_DISC_RefExprPerProPerWord,3.6415526683072335,0.05796378279036925
languageLVL_vs_DISC_RefExprPossProPerSen,,
languageLVL_vs_DISC_RefExprPossProPerWord,,
languageLVL_vs_DISC_RefExprDefArtPerSen,,
languageLVL_vs_DISC_RefExprDefArtPerWord,,
languageLVL_vs_DISC_RefExprProperNounsPerNoun,22.37137548703369,4.5577066232492526e-06
passiveV_vs_POS_numNouns,0.29672826830668464,0.5866226135310176
passiveV_vs_POS_numProperNouns,0.010011751946988025,0.9204102947666806
passiveV_vs_POS_numPronouns,5.346450393206503,0.02190909834838927
passiveV_vs_POS_numConjunct,0.5817835339081358,0.4466237043870702
passiveV_vs_POS_numAdjectives,0.5092084229031234,0.47641629748188874
passiveV_vs_POS_numVerbs,3.8962797763722494,0.04994045240772108
passiveV_vs_POS_numAdverbs,0.7323761500007775,0.3932645840255419
passiveV_vs_POS_numModals,,
passiveV_vs_POS_numPrepositions,1.3941702164786614,0.23927745665396524
passiveV_vs_POS_numInterjections,10.207084630861742,0.0016550811900276532
passiveV_vs_POS_numPerPronouns,5.346450393206503,0.02190909834838927
passiveV_vs_POS_numWhPronouns,,
passiveV_vs_POS_numLexicals,8.08667084667995,0.004981179735875794
passiveV_vs_POS_numFunctionWords,5.095659247937542,0.025200943001393247
passiveV_vs_POS_numDeterminers,0.4546709686216461,0.500999856626031
passiveV_vs_POS_numVerbsVB,2.4760874824147545,0.11736521829249316
passiveV_vs_POS_numVerbsVBG,,
passiveV_vs_POS_numVerbsVBN,0.40352816600924657,0.5260885220240605
passiveV_vs_POS_numVerbsVBP,,
passiveV_vs_POS_numVerbsVBZ,,
passiveV_vs_POS_advVar,0.2759321735334632,0.6000336011168748
passiveV_vs_POS_adjVar,0.09304148349324691,0.7607019429627593
passiveV_vs_POS_modVar,0.3506717702806775,0.5544845502500182
passiveV_vs_POS_nounVar,2.230303641164973,0.13709770514828912
passiveV_vs_POS_verbVar1,7.088332333459598,0.008469532397225164
passiveV_vs_POS_verbVar2,1.2006633722748818,0.2746694685453994
passiveV_vs_POS_squaredVerbVar1,0.4120997616112268,0.5217315238311971
passiveV_vs_POS_correctedVV1,0.39657474979434815,0.529671018227406
passiveV_vs_localNounOverlapCount,,
passiveV_vs_localArgumentOverlapCount,0.8978904811543705,0.34463261749734064
passiveV_vs_localStemOverlapCount,0.19242259884040358,0.6614398661850355
passiveV_vs_localContentWordOverlap,5.67086262078816,0.018304336397077296
passiveV_vs_globalNounOverlapCount,,
passiveV_vs_globalArgumentOverlapCount,0.019608661848282898,0.8887938756883027
passiveV_vs_globalStemOverlapCount,0.0007618643762358094,0.9780105948282667
passiveV_vs_globalContentWordOverlap,2.226212223714842,0.137456324206917
passiveV_vs_TTR,1.4794989051976373,0.2254634189760455
passiveV_vs_CorrectedTTR,2.965710644764644,0.08678413031825112
passiveV_vs_RootTTR,2.9657106447646377,0.08678413031825112
passiveV_vs_BilogTTR,4.059827039513186,0.04541983664500078
passiveV_vs_MTLD,0.5007078301257606,0.48011472356098595
passiveV_vs_conjunctToSent,0.06248899030478748,0.8028926450764045
passiveV_vs_conjunctTypesToSent,0.6552730114952268,0.419314488079111
